Mun Nombre,Mun Id,coordenadas_colombia.latitud,coordenadas_colombia.longitud
CHIPATA,68179,6.1333333,'-73.55
CHIQUINQUIRA,15176,5.6333333,'-73.75
CHIQUIZA,15232,5.6083333,'-73.4886111
CHIRIGUANA,20178,9.5,'-73.4166667
CHISCAS,15180,6.75,'-72.3333333
CHITA,15183,6.1666667,'-72.4166667
CHITAGA,54174,7.1666667,'-72.5833333
CHITARAQUE,15185,6.0833333,'-73.3666667
CHIVATA,15187,5.5333333,'-73.2666667
CHIVOR,15236,4.8855556,'-73.3688889
CHOACHI,25181,4.5833333,'-73.9166667
CHOCONTA,25183,5.1666667,'-73.6666667
CICUCO,13188,9.4166667,'-74.7333333
CIENAGA,47189,10.8333333,'-74.0833333
CIENAGA DE ORO,23189,8.8333333,'-75.6666667
CIENEGA,15189,5.4666667,'-73.25
CIMITARRA,68190,6.3161111,'-73.9505556
CIRCASIA,63190,4.6166667,'-75.6333333
CISNEROS,5190,6.5833333,'-75.0833333
CIUDAD BOLIVAR,5101,5.8333333,'-76.0
CLEMENCIA,13222,10.5891667,'-75.3341667
COCORNA,5197,6,'-75.0
COELLO,73200,4.3333333,'-74.9166667
COGUA,25200,5.15,'-73.9666667
COLOMBIA,41206,2.5,'-75.75
COLON,52203,1.5833333,'-77.0
COLON,86219,1.1936111,'-76.9769444
COLOSO,70204,9.4966667,'-75.3555556
COMBITA,15204,5.75,'-73.25
CONCEPCION,5206,6.4166667,'-75.25
CONCEPCION,68207,6.9166667,'-72.5
CONCORDIA,47205,9.8402778,'-74.4447222
CONCORDIA,5209,6.0833333,'-75.9166667
CONDOTO,27205,5.1666667,'-76.5
CONFINES,68209,6.4166667,'-73.1666667
CONSACA,52207,1.20840649727186,'-77.4632263183594
CONTRATACION,68211,6.3333333,'-73.4166667
CONVENCION,54206,8.8333333,'-73.2
COPACABANA,5212,6.3333333,'-75.5
COPER,15212,5.4333333,'-74.0333333
CORDOBA,13212,9.5,'-74.9166667
CORDOBA,52215,0.7833333,'-77.3333333
CORDOBA,63212,4.3905556,'-75.6888889
CORINTO,19212,3.1666667,'-76.2
COROMORO,68217,6.3333333,'-73.0
COROZAL,70215,9.3333333,'-75.25
CORRALES,15215,5.8666667,'-72.8333333
COTA,25214,4.8333333,'-74.1333333
COTORRA,23300,9.05,'-75.8
COVARACHIA,15218,6.5833333,'-72.7
COVEÑAS,70221,9.4166667,'-75.7
COYAIMA,73217,3.8333333,'-75.0833333
CRAVO NORTE,81220,6.3030556,'-70.2016667
CUASPUD,52224,0.8658333,'-77.7294444
CUBARA,15223,7.0411111,'-72.0608333
CUBARRAL,50223,3.7713889,'-73.8377778
CUCAITA,15224,5.5333333,'-73.4666667
CUCUNUBA,25224,5.25,'-73.75
CUCUTA,54001,7.8833333,'-72.5052778
CUCUTILLA,54223,7.5,'-72.75
CUITIVA,15226,5.65,'-72.9166667
CUMARAL,50226,4.25,'-73.3333333
CUMARIBO,99773,4.4444444,'-69.8002778
CUMBAL,52227,0.9166667,'-77.9166667
CUMBITARA,52233,1.6533333,'-77.5833333
CUNDAY,73226,4.0833333,'-74.6666667
CURILLO,18205,1.0352778,'-75.9247222
CURITI,68229,6.6666667,'-73.0
CURUMANI,20228,9.2041667,'-73.5486111
DABEIBA,5234,7,'-76.25
DAGUA,76233,3.6602778,'-76.6927778
DIBULLA,44090,11.2722222,'-73.3055556
DISTRACCION,44098,10.8977778,'-72.8869444
DOLORES,73236,3.6666667,'-74.75
DON MATIAS,5237,6.5,'-75.3333333
DOSQUEBRADAS,66170,4.8347222,'-75.6725
DUITAMA,15238,5.8269444,'-73.0202778
DURANIA,54239,7.75,'-72.6333333
